Year,Month,Fieldwork,Published,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,,,,,,Party leader rating,,,,,,,,,,,
2001,Jun,21-26,,MORI,,25.0,,49.0,,19.0,,-24.0,,,,,,,,,,,,,,,,,,,,
,Jul,13-14,,ICM,GU,30.0,,46.0,,18.0,,-16.0,,,,,,,,,,,,,,,,,,,,
,Jul,19-23,26,MORI,TT,25.0,0.0,52.0,3.0,17.0,-2.0,-27.0,-3.0,,,,,,,,,,,,,,,,,,,
,Jul,20-5,6,ICM,R4,29.0,-1.0,53.0,7.0,14.0,-4.0,-24.0,-8.0,,,,,,,,,,,,,,,,,,,
,Aug,9-14,10,MORI,GMB,23.0,-2.0,53.0,1.0,19.0,2.0,-30.0,-3.0,,,,,,,,,,,,,,,,,,,
,Aug,17-19,21,ICM,GU,30.0,1.0,46.0,-7.0,17.0,3.0,-16.0,8.0,,,,,,,,,,,,,,,,,,,
,Aug,23-28,30,MORI,TT,25.0,2.0,53.0,0.0,16.0,-3.0,-28.0,2.0,,,,,,,,,,,,,,,,,,,
,Sept,14-16,,ICM,GU,29.0,-1.0,46.0,0.0,20.0,3.0,-17.0,-1.0,,,,,,,,,,,,,,,,,,,
,Sept,20-25,28,MORI,TT,27.0,2.0,53.0,0.0,15.0,-1.0,-26.0,2.0,,,,,,,,,,,,,,,,,,,
,Oct,18-22,25,MORI,TT,25.0,-2.0,57.0,4.0,13.0,-2.0,-32.0,-6.0,,,,,,,,,,,,,,,,,,,
,Oct,19-20,,ICM,GU,29.0,0.0,47.0,1.0,19.0,-1.0,-18.0,-1.0,,,,,,,,,,,,,,,,,,,
,Nov,16-18,,ICM,GU,29.0,0.0,46.0,-1.0,19.0,0.0,-17.0,1.0,,,,,,,,,,,,,,,,,,,
,Nov,22-27,28,MORI,TT,25.0,0.0,56.0,-1.0,15.0,2.0,-31.0,1.0,,,,,,,,,,,,,,,,,,,
,Dec,14-16,18,ICM,GU,29.0,0.0,44.0,-2.0,20.0,1.0,-15.0,2.0,,,,,,,,,,,,,,,,,,,
2002,Jan,11-12,13,YouGov,MoS,30.0,,42.0,,21.0,,-12.0,,,,,,,,,30.0,60.0,-30.0,62.0,37.0,25.0,57.0,31.0,26.0,Do you think (name) is doing well or badly as (position)?,,
,Jan,18-20,22,ICM,GU,30.0,1.0,45.0,1.0,19.0,-1.0,-15.0,0.0,,,,,,,,,,,,,,,,,,,
,Jan,24-28,31,MORI,TT,27.0,2.0,51.0,-5.0,16.0,1.0,-24.0,7.0,,,,,,,,,,,,,,,,,,,
,Feb,15-17,19,ICM,GU,30.0,0.0,47.0,2.0,18.0,-1.0,-17.0,-2.0,,,,,,,,,,,,,,,,,,,
,Feb,21-26,28,MORI,TT,28.0,1.0,51.0,0.0,16.0,0.0,-23.0,1.0,,,,,,,,,,,,,,,,,,,
,Mar,5-7,10,YouGov,MoS,31.0,1.0,42.0,0.0,20.0,-1.0,-11.0,1.0,,,,,,,,,,,,,,,,,,,
,Mar,15-17,21,ICM,GU,34.0,4.0,43.0,-4.0,17.0,-1.0,-9.0,8.0,,,,,,,,,,,,,,,,,,,
,Mar,21-26,10,MORI,,28.0,0.0,47.0,-4.0,19.0,3.0,-19.0,4.0,,,,,,,,,,,,,,,,,,,
,Apr,18-22,25,MORI,,27.0,-1.0,50.0,3.0,16.0,-3.0,-23.0,-4.0,,,,,,,,,,,,,,,,,,,
,Apr,18-19,21,ICM,STel,32.0,-2.0,45.0,2.0,17.0,0.0,-13.0,-4.0,,,,,,,,,,,,,,,,,,,
,Apr,20-21,23,ICM,GU,29.0,-3.0,45.0,0.0,18.0,1.0,-16.0,3.0,,,,,,,,,,,,,,,,,,,
,Apr,24-26,28,YouGov,ST,32.0,1.0,44.0,2.0,18.0,-2.0,-12.0,-1.0,,,,,,,,,,,,,,,,,,,
,May,,,ICM,,35.0,6.0,41.0,-4.0,20.0,2.0,-6.0,10.0,,,,,,,,,,,,,,,,,,,
,May,17-19,21,ICM,GU,34.0,-1.0,42.0,1.0,19.0,-1.0,-8.0,-2.0,,,,,,,,,,,,,,,,,,,
,May,23-24,26,YouGov,ST,32.0,0.0,40.0,-4.0,21.0,3.0,-8.0,4.0,,,,,,,,,,,,,,,,,,,
,May,23-28,31,MORI,,30.0,3.0,46.0,-4.0,17.0,1.0,-16.0,7.0,,,,,,,,,,,,,,,,,,,
,May,29-31,2,YouGov,ST,32.0,0.0,40.0,0.0,20.0,-1.0,8.0,0.0,,,,,,,,,,,,,,,,,,,
,Jun,7-8,9,YouGov,MoS,33.0,1.0,39.0,-1.0,21.0,1.0,-6.0,2.0,,,,,,,,36.0,54.0,-18.0,49.0,48.0,1.0,53.0,31.0,22.0,Do you think (name) is doing well or badly as (position)?,,
,Jun,17-19,23,YouGov,MoS,33.0,0.0,39.0,0.0,20.0,-1.0,-6.0,0.0,,,,,,,,,,,,,,,,,,,
,Jun,20-24,28,MORI,TT,29.0,-1.0,48.0,2.0,17.0,0.0,-19.0,-3.0,,,,,,,,,,,,,,,,,,,
,Jun,21,23,YouGov,ST,35.0,2.0,38.0,-1.0,20.0,0.0,-3.0,3.0,,,,,,,,,,,,,,,,,,,
,Jun,21-23,25,ICM,GU,32.0,-2.0,42.0,0.0,20.0,1.0,-10.0,-2.0,,,,,,,,,,,,,,,,,,,
,Jun,21-24,27,NOP,DT,31.0,,41.0,,19.0,,-10.0,,,,,,,,,,,,,,,,,,,,
,Jul,4-5,7,YouGov,MoS,34.0,-1.0,39.0,1.0,20.0,0.0,-5.0,-2.0,,,,,,,,,,,,,,,,,,,
,Jul,18-22,26,MORI,,27.0,-2.0,48.0,0.0,18.0,1.0,-21.0,-2.0,,,,,,,,,,,,,,,,,,,
,Jul,25-26,28,YouGov,ST,34.0,0.0,40.0,1.0,20.0,0.0,-6.0,-1.0,,,,,,,,,,,,,,,,,,,
,Jul,26-27,30,ICM,GU,33.0,1.0,42.0,0.0,20.0,0.0,-9.0,1.0,,,,,,,,,,,,,,,,,,,
,Aug,1-2,4,YouGov,MoS,34.0,0.0,40.0,0.0,20.0,0.0,-6.0,0.0,,,,,,,,,,,,,,,,,,,
,Aug,21-23,25,YouGov,ST,33.0,-1.0,40.0,0.0,20.0,0.0,-7.0,-1.0,,,,,,,,,,,,,,,,,,,
,Aug,22-28,,MORI,,25.0,-2.0,53.0,5.0,16.0,-2.0,-28.0,-7.0,,,,,,,,,,,,,,,,,,,
,Aug,23-25,28,ICM,GU,32.0,-1.0,41.0,-1.0,21.0,1.0,-9.0,0.0,,,,,,,,,,,,,,,,,,,
,Aug,29-30,1,YouGov,ST,33.0,0.0,39.0,-1.0,21.0,1.0,-6.0,1.0,,,,,,,,,,,,,,,,,,,
,Sep,19-24,,MORI,,27.0,2.0,53.0,0.0,15.0,-1.0,-5.0,2.0,,,,,,,,,,,,,,,,,,,
,Sep,20-22,24,ICM,GU,34.0,2.0,39.0,-2.0,20.0,-1.0,-5.0,4.0,,,,,,,,,,,,,,,,,,,
,Sep,25-27,29,YouGov,ST,32.0,-1.0,40.0,1.0,22.0,1.0,-8.0,-2.0,,,,,,,,,,,,,,,,,,,
,Sep,27-30,4,NOP,DT,28.0,-3.0,41.0,0.0,21.0,2.0,-13.0,-3.0,,,,,,,,,,,,,,,,,,,
,Oct,1-3,7,YouGov,DT,31.0,-1.0,40.0,0.0,22.0,0.0,-9.0,-1.0,,,,,,,,,,,,,,,,,,,
,Oct,2-3,6,ICM,NoW,27.0,-7.0,42.0,3.0,23.0,3.0,-15.0,-10.0,,Note: headline reported figure of C and LD both on 24 incl people who wouldn't vote at GE,,,,,,,,,,,,,,,,,
,Oct,11-12,13,YouGov,MoS,33.0,2.0,40.0,0.0,20.0,-2.0,-7.0,2.0,,,,,,,,31.0,65.0,-34.0,57.0,41.0,16.0,60.0,30.0,30.0,Do you think (name) is doing well or badly as (position)?,,
,Oct,17-21,,MORI,,25.0,-2.0,57.0,4.0,13.0,-2.0,-32.0,-6.0,,,,,,,,,,,,,,,,,,,
,Oct,18-20,22,ICM,GU,32.0,5.0,43.0,1.0,20.0,-3.0,-11.0,4.0,,,,,,,,,,,,,,,,,,,
,Oct,23-25,27,YouGov,ST,31.0,-2.0,40.0,0.0,22.0,1.0,-9.0,-2.0,,,,,,,,,,,,,,,,,,,
,Oct,31-1,3,YouGov,MoS,31.0,0.0,40.0,0.0,21.0,-1.0,-9.0,0.0,,,,,,,,,,,,,,,,,,,
,Nov,6-7,10,ICM,STel,29.0,-3.0,43.0,0.0,21.0,1.0,-14.0,-3.0,,,,,,,,,,,,,,,,,,,
,Nov,,10,ICM,NoW,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,14-16,17,YouGov,ST,31.0,0.0,41.0,1.0,21.0,0.0,-10.0,-1.0,,,,,,,,,,,,,,,,,,,
,Nov,14-19,25,MORI,FT,30.0,3.0,42.0,-6.0,21.0,3.0,-12.0,9.0,Certain to vote figures for MORI from here on,,,,,,,,,,,,,,,,,,
,Nov,15-17,19,ICM,GU,29.0,0.0,42.0,,22.0,,-11.0,,,,,,,,,,,,,,,,,,,,
,Nov,20-22,24,YouGov,ST,30.0,-1.0,39.0,-2.0,23.0,2.0,-9.0,1.0,,,,,,,,,,,,,,,,,,,
,Nov,28-29,1,YouGov,MoS,31.0,1.0,40.0,1.0,21.0,-2.0,-9.0,0.0,,,,,,,,,,,,,,,,,,,
,Dec,5-6,8,YouGov,MoS,31.0,0.0,38.0,-2.0,23.0,2.0,-7.0,2.0,,,,,,,,,,,,,,,,,,,
,Dec,13-15,17,ICM,GU,27.0,-2.0,41.0,-1.0,23.0,1.0,-14.0,-3.0,,,,,,,,,,,,,,,,,,,
,Dec,12-17,28,MORI,FT,33.0,3.0,37.0,-5.0,24.0,3.0,-4.0,-8.0,,,,,,,,,,,,,,,,,,,
,Dec,19-20,22,YouGov,ST,32.0,1.0,39.0,1.0,21.0,-2.0,-7.0,0.0,,30.8,,42.8,,19.7,,,,,,,,,,,,,
2003,Jan,3-4,6,Live St,TT,32.0,,37.0,,25.0,,-5.0,,,,,,,,,,,,,,,,,,,,
,Jan,3-4,5,YouGov,MoS,31.0,-1.0,38.0,-1.0,23.0,2.0,-7.0,0.0,,,,,,,,19.0,75.0,-56.0,48.0,51.0,-3.0,62.0,26.0,36.0,Do you think (name) is doing well or badly as (position)?,,
,Jan,16-17,19,YouGov,MoS,31.0,0.0,37.0,-1.0,25.0,2.0,-6.0,1.0,,,,,,,,20.0,72.0,-52.0,42.0,57.0,-15.0,59.0,28.0,31.0,Do you think (name) is doing well or badly as (position)?,,
,Jan,17-19,22,ICM,GU,30.0,3.0,43.0,2.0,21.0,-2.0,-13.0,1.0,,,,,,,,,,,,,,,,,,,
,Jan,23-24,26,YouGov,ST,31.0,0.0,37.0,0.0,24.0,-1.0,-6.0,0.0,,,,,,,,,,,,,,,,,,,
,Jan,23-27,,MORI,,31.0,-2.0,40.0,3.0,22.0,-2.0,-9.0,-5.0,,,,,,,,,,,,,,,,,,,
,Jan,28-30,31,YouGov,DT,32.0,1.0,36.0,-1.0,24.0,0.0,-4.0,2.0,,,,,,,,,,,,,,,,,,,
,Feb,7-8,9,YouGov,MoS,32.0,0.0,37.0,1.0,24.0,0.0,-5.0,-1.0,,,,,,,,,,,,,,,,,,,
,Feb,7-9,11,Populus,TT,34.0,,35.0,,25.0,,-1.0,,,,,,,,,,,,,,,,,,,,
,Feb,14-16,18,ICM,GU,31.0,1.0,39.0,-4.0,22.0,1.0,-8.0,5.0,,,,,,,,,,,,,,,,,,,
,Feb,17-18,19,YouGov,DT,33.0,1.0,34.0,-3.0,26.0,2.0,-1.0,4.0,,,,,,,,,,,,,,,,,,,
,Feb,20-21,23,YouGov,ST,33.0,0.0,35.0,1.0,25.0,-1.0,-2.0,-1.0,,,,,,,,,,,,,,,,,,,
,Feb,20-25,3,MORI,FT,29.0,-2.0,41.0,1.0,22.0,0.0,-12.0,-3.0,,Note: MORI figures are for certain to vote,,,,,,,,,,,,,,,,,
,Feb,25-26,5,YouGov,DT,31.0,-2.0,35.0,0.0,26.0,1.0,-4.0,-2.0,,,,,,,,,,,,,,,,,,,
,Mar,7-9,12,Populus,TT,34.0,0.0,34.0,-1.0,24.0,-1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
,Mar,14-16,18,ICM,GU,32.0,1.0,38.0,-1.0,24.0,2.0,-6.0,2.0,,,,,,,,,,,,,,,,,,,
,Mar,20-24,28,MORI,,29.0,0.0,43.0,2.0,21.0,-1.0,-14.0,-2.0,,,,,,,,,,,,,,,,,,,
,Mar,26-27,28,YouGov,DT,33.0,2.0,40.0,5.0,20.0,-6.0,-7.0,-3.0,,,,,,,,,,,,,,,,,,,
,Apr,3-4,,YouGov,,,,,,,,,,,"No party figures published, but leader ratings on YouGov website",,,,,,32.0,57.0,-25.0,57.0,42.0,15.0,48.0,39.0,9.0,Do you think (name) is doing well or badly as (position)?,,
,Apr,10-11,13,YouGov,MoS,33.0,0.0,41.0,1.0,18.0,-2.0,-8.0,-1.0,,,,,,,,32.0,61.0,-29.0,62.0,36.0,26.0,49.0,38.0,11.0,Do you think (name) is doing well or badly as (position)?,,
,Apr,10-12,14,Populus,TT,29.0,-5.0,41.0,7.0,22.0,-2.0,-12.0,-12.0,,,,,,,,,,,,,,,,,,,
,Apr,17-19,22,ICM,GU,30.0,-2.0,42.0,4.0,21.0,-3.0,-12.0,-6.0,,,,,,,,,,,,,,,,,,,
,Apr,22-24,28,YouGov,DT,32.0,-1.0,40.0,-1.0,21.0,3.0,-8.0,0.0,,,,,,,,,,,,,,,,,,,
,Apr,24-28,30,MORI,,29.0,0.0,43.0,0.0,21.0,0.0,-14.0,0.0,,,,,,,,,,,,,,,,,,,
,May,2-4,6,Populus,TT,34.0,5.0,36.0,-5.0,22.0,0.0,-2.0,10.0,,,,,,,,,,,,,,,,,,,
,May,16-18,21,ICM,GU,29.0,-1.0,41.0,-1.0,21.0,0.0,-12.0,0.0,,,,,,,,,,,,,,,,,,,
,May,22-28,8,MORI,,31.0,2.0,39.0,-4.0,22.0,1.0,-8.0,6.0,,,,,,,,,,,,,,,,,,,
,May,28-29,30,YouGov,DT,36.0,4.0,37.0,-3.0,20.0,-1.0,-1.0,7.0,,,,,,,,,,,,,,,,,,,
,Jun,13-15,17,Populus,TT,33.0,-1.0,37.0,1.0,20.0,-2.0,-4.0,-2.0,,Methodology change,,,,,,,,,,,,,,,,,
,Jun,19-20,22,YouGov,MoS,36.0,0.0,37.0,0.0,20.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,
,Jun,19-24,,MORI,,32.0,1.0,41.0,2.0,19.0,-3.0,-9.0,-1.0,,,,,,,,,,,,,,,,,,,
,Jun,20-22,24,ICM,GU,34.0,5.0,38.0,-3.0,21.0,0.0,-4.0,8.0,,,,,,,,,,,,,,,,,,,
,Jun,24-26,27,YouGov,DT,37.0,1.0,35.0,-2.0,21.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
