Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,M,F,Net,Lab,,M,F,Net,LD,,M,F,Net,Con lead,,,,,Media:,BPC mbr 5,2.1  5,2.2  5,Change  5/10,Stat sig  5,Penalty -5 each,Score,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,,MORI LD,YouGov LD,ICM LD,Populus LD,ComRes LD
2005,May,19-23,19/5/11,,MORI,First Tuesday,27.0,,,,,40.0,,,,,26.0,,,,,-13.0,,F2F,All,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,19-23,19/5/05,,MORI,FT,30.0,,,,,37.0,,,,,26.0,,,,,-7.0,,F2F,Certain to vote,,,,,,,,,,,28.0,48.0,-20.0,39.0,55.0,-16.0,49.0,28.0,21.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,26.0, , , , 
,May,24-26,24/5/05,,YouGov,DT,31.0,,,,,38.0,,,,,23.0,,,,,-7.0,,Internet,,,,,,,,,,,,,,,,,,,,,,, ,23.0, , , 
,Jun,16-20,16/6/05,7,MORI,Social Research Institute,29.0,-1.0,,,,42.0,5.0,,,,21.0,-5.0,,,,-13.0,-6.0,F2F,Certain to vote,,,,,,,,,,,23.0,49.0,-26.0,39.0,52.0,-13.0,46.0,26.0,20.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,21.0, , , , 
,Jun,17-19,17/6/05,21,ICM,GU,31.0,,,,,38.0,,,,,23.0,,,,,-7.0,,Phone,,,,,,,,,,,,,,,,,,,,,,,,,23.0, , 
,Jun,28-30,28/6/05,4,YouGov,DT,33.0,2.0,,,,38.0,0.0,,,,20.0,-3.0,,,,-5.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,20.0, , , 
,Jul,14-18,14/7/05,24,MORI,OB,28.0,-1.0,,,,41.0,-1.0,,,,25.0,4.0,,,,-13.0,0.0,F2F,Certain to vote,,,,,,,,,,,25.0,48.0,-23.0,44.0,47.0,-3.0,42.0,29.0,13.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,25.0, , , , 
,Jul,15-17,15/7/05,19,ICM,GU,31.0,0.0,,,,39.0,1.0,,,,23.0,0.0,,,,-8.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,23.0, , 
,Jul,22-24,22/7/05,27,Populus,TT,28.0,,,,,40.0,,,,,22.0,,,,,-12.0,,Phone,,,,,,,,,,,,,,,,,,,,,,,,, ,22.0, 
,Jul,26-28,26/7/05,,YouGov,DT,31.0,-2.0,,,,40.0,2.0,,,,21.0,1.0,,,,-9.0,-4.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,21.0, , , 
,Aug,11-15,11/8/05,,MORI,,31.0,3.0,,,,39.0,-2.0,,,,24.0,-1.0,,,,-8.0,5.0,F2F,Certain to vote,,,,,,,,,,,25.0,45.0,-20.0,39.0,51.0,-12.0,46.0,26.0,20.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,24.0, , , , 
,Aug,12-14,12/8/05,22,ICM,GU,31.0,0.0,,,,38.0,-1.0,,,,22.0,-1.0,,,,-7.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,22.0, , 
,Aug,19-24,19/8/05,,YouGov,DT,33.0,2.0,,,,40.0,0.0,,,,20.0,-1.0,,,,-7.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,20.0, , , 
