Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,UKIP,Green,BNP,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,UKIP good,UKIP bad,UKIP net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,UKIP Best PM,,Govt good,Govt bad,Govt net,Question,Con,Lab,LD,UKIP,,,,
2010,May,12-13,12/5/10,16,,ComRes,IoS/SM,38.0,,34.0,,21.0,,4.0,,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,12-13,12/5/10,16,,ICM,STel,38.0,,33.0,,21.0,,5.0,,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,13-14,13/5/10,16,,YouGov,ST,37.0,,34.0,,21.0,,3.0,,Internet,,,,,,,48.0,12.0,36.0,,,,46.0,14.0,32.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,,,,,,,,,,,,
,May,14-16,14/5/10,19,,Angus RS,,,,,,,,,,Internet,,,,,,,52.0,40.0,12.0,38.0,56.0,-18.0,56.0,33.0,23.0,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,,,,
,May,19,19/5/10,20?,,YouGov,Sun,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,23.0,20.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,19-20,19/5/10,,,YouGov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,22.0,20.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,20-21,20/5/10,23,,YouGov,ST,39.0,2.0,32.0,-2.0,21.0,0.0,7.0,4.0,Internet,,,,,,,57.0,15.0,42.0,,,,61.0,17.0,44.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,,,,,,,,,,,,
,May,21-25,21/5/10,,,Opinium,,38.0,,29.0,,21.0,,9.0,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,21-24,21/5/10,25,,Angus RS,,,,,,,,,,,,,,,,,54.0,25.0,29.0,,,,52.0,26.0,26.0,,,,,,,Do you approve or disapprove of X's performance as Y...,,,,,,,,,,,,,,,,,
,May,21-23,21/5/10,25,,ICM,Gu,39.0,1.0,32.0,-1.0,21.0,0.0,7.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,27-28,27/5/10,,,YouGov,,,,,,,,,,Internet,,,,,,,60.0,18.0,42.0,,,,62.0,19.0,43.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,,,,,,,,,,,,
,May,28-31,28/5/10,2,,ComRes,Ind,37.0,-1.0,33.0,-1.0,21.0,0.0,4.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,1-9,1/6/10,14,,Harris,Metro,36.0,,30.0,,25.0,,6.0,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,3-4,3/6/10,,,YouGov,,,,,,,,,,Internet,,,,,,,63.0,16.0,47.0,,,,61.0,20.0,41.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,,,,,,,,,,,,
,Jun,4-7,4/6/10,,,Opinium,,42.0,4.0,28.0,-1.0,19.0,-2.0,14.0,5.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,8,8/6/10,,,YouGov,Sun,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,24.0,20.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,8-9,8/6/10,,,YouGov,Sun,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,26.0,18.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,10,10/6/10,,,YouGov,Sun,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,26.0,19.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
