Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,Con lead,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,UKIP good,UKIP bad,UKIP net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,UKIP Best PM,Question,Govt good,Govt bad,Govt net,Question,,,,,,,,
2015,May,8-9,8/5/15,10,,Survation,MoS,40.0,,31.0,,6.0,,12.0,,3.0,,9.0,,Internet,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,14-15,14/5/15,,,YouGov,,,,,,,,,,,,,,Internet,,,,50.0,41.0,9.0,,,,,,,,,,,,,Do you think X is doing well or badly as… ,,,,,,39.0,46.0,-7.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,21-22,21/5/15,,,YouGov,,,,,,,,,,,,,,Internet,,,,52.0,42.0,10.0,,,,,,,,,,,,,Do you think X is doing well or badly as… ,,,,,,42.0,45.0,-3.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,25-26,25/5/15,1,,YouGov,Sun,41.0,,29.0,,7.0,,13.0,,4.0,,12.0,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,39.0,44.0,-5.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,28-29,28/5/15,31,,YouGov,ST,,,,,,,,,,,,,Internet,,,,50.0,42.0,8.0,,,,,,,,,,,,,Do you think X is doing well or badly as… ,,,,,,40.0,44.0,-4.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,29-31,29/5/15,4,,ComRes,DM,41.0,,29.0,,8.0,,10.0,,5.0,,12.0,,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,4-5,4/6/15,7,,YouGov,ST,,,,,,,,,,,,,Internet,,,,51.0,39.0,12.0,,,,,,,,,,,,,Do you think X is doing well or badly as… ,,,,,,41.0,44.0,-4.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,11-12,11/6/15,14,,YouGov,ST,,,,,,,,,,,,,Internet,,,,50.0,41.0,9.0,,,,,,,,,,,,,Do you think X is doing well or badly as… ,,,,,,38.0,46.0,-8.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,12-14,12/6/15,16,,ICM,Gu,37.0,,31.0,,8.0,,13.0,,5.0,,6.0,,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,14-16,14/6/15,18,,Ipsos MORI,ES,39.0,,30.0,,9.0,,8.0,,6.0,,9.0,,Phone,,,,49.0,42.0,7.0,,,,,,,29.0,47.0,-18.0,,,,Are you satisfied or dissatisified with the way X is doing his job as…,,,,,,43.0,46.0,-3.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Jun,18-19,18/6/15,21,,YouGov,ST,,,,,,,,,,,,,Internet,,,,50.0,41.0,9.0,,,,,,,,,,,,,Do you think X is doing well or badly as… ,,,,,,40.0,44.0,-4.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,23-26,23/6/15,,,Opinium,,42.0,,31.0,,6.0,,12.0,,3.0,,11.0,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,25-26,25/6/15,28,,YouGov,ST,,,,,,,,,,,,,Internet,,,,48.0,43.0,5.0,,,,,,,,,,,,,Do you think X is doing well or badly as… ,,,,,,40.0,46.0,-6.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
