Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,TIG/CUK,,BXP,,Con lead,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,UKIP good,UKIP bad,UKIP net,Grn good,Grn bad,Grn net,CUK good,CUK bad,CUK net,BXP good,BXP bad,BXP net,Question,Con Best PM,Lab Best PM,LD Best PM,BXP Best PM,Question,Govt good,Govt bad,Govt net,Question,,,,,,,
2017,Jun ,9-10,9/6/17,11,,YouGov,ST,,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,39.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,
,Jun ,10,10/6/17,11,,Survation,MoS,39.0,,45.0,,7.0,,3.0,,,,,,,,-6.0,,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun ,11-12,11/6/17,15,,YouGov,,,,,,,,,,,,,,,,,,Internet,,,,29.0,63.0,-34.0,46.0,46.0,0.0,22.0,48.0,-26.0,6.0,62.0,-56.0,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,,,
,Jun ,15-16,15/6/17,,,YouGov,,,,,,,,,,,,,,,,,,Internet,,,,32.0,59.0,-27.0,44.0,46.0,-2.0,,,,,,,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,,,
,Jun ,16-17,16/6/17,19,,Survation,GMB,41.0,,44.0,,6.0,,2.0,,1.0,,,,,,-3.0,,Phone,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun ,16-21,16/6/17,25,,Panelbase,ST,41.0,,46.0,,6.0,,2.0,,1.0,,,,,,-5.0,,Internet,,,,28.0,45.0,-17.0,45.0,28.0,17.0,,,,,,,,,,,,,,,,"How good or bad a job do you think X, Y is doing?",,,,,,,,,,,,,,,,
,Jun ,21-22,21/6/17,23,,YouGov,TT,,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,35.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,
,Jun ,25-26,25/6/17,,,YouGov,,,,,,,,,,,,,,,,,,Internet,,,,32.0,59.0,-27.0,,,,,,,,,,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,,,
,Jun ,27-29,27/6/17,2,,Opinium,Ob,39.0,,45.0,,5.0,,5.0,,2.0,,,,,,-6.0,,Internet,,,,31.0,51.0,-20.0,42.0,38.0,4.0,12.0,44.0,-32.0,7.0,54.0,-47.0,,,,,,,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,35.0,34.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,
,Jun ,28-30,28/6/17,2,,Survation,MoS,41.0,0.0,40.0,-4.0,7.0,1.0,2.0,0.0,2.0,,,,,,1.0,4.0,Phone,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun ,28-30,28/6/17,4,,Survation,Daily Record, ,,,,,,,,,,,,,,,,Phone,UK,,,,,,,,,,,,,,,,,,,,,,,,,44.0,38.0,,,Which of the following party leaders do you think would make the best PM?,,,,,,,,,,,
,Jun ,30-3,30/6/17,4,,ICM,Gu,41.0,,43.0,,7.0,,3.0,,3.0,,,,,,-2.0,,Internet,,,,28.0,54.0,-26.0,44.0,35.0,9.0,,,,,,,,,,,,,,,,"From what you have seen or heard, do you think (title) X is doing a good job or a bad job?",,,,,,,,,,,,,,,,
,Jul,5-6,5/7/17,7,,YouGov,TT,38.0,,46.0,,6.0,,4.0,,1.0,,,,,,-8.0,,Internet,,,,31.0,60.0,-29.0,,,,,,,,,,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,,,
,Jul,10-11,10/7/17,17,,YouGov,TT,40.0,2.0,45.0,-1.0,7.0,1.0,2.0,,1.0,,,,,,-5.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,33.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,
,Jul,11-14,11/7/17,16,,Opinium,Ob,41.0,2.0,43.0,-2.0,5.0,0.0,5.0,0.0,2.0,0.0,,,,,-2.0,4.0,Internet,,,,30.0,51.0,-21.0,41.0,37.0,4.0,12.0,45.0,-33.0,7.0,54.0,-47.0,,,,,,,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,36.0,33.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,
,Jul,11-14,11/7/17,,,BMG,Ind,38.0,,41.0,,9.0,,6.0,,3.0,,,,,,,,Internet,,,,32.0,55.0,-23.0,41.0,39.0,2.0,,,,,,,,,,,,,,,,,31.0,34.0,,,"If you had to choose between the two, who would you prefer to see as the next Prime Minister? ",,,,,,,,,,,
,Jul,14-15,14/7/17,16,,Survation,MoS,39.0,0.0,41.0,-4.0,8.0,1.0,6.0,3.0,1.0,,,,,,-2.0,4.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,43.0,35.0,,,Which of the following party leaders do you think would make the best PM?,,,,,,,,,,,
,Jul,14-16,14/7/17,18,,ICM,Gu,42.0,1.0,43.0,0.0,7.0,0.0,3.0,0.0,2.0,-1.0,,,,,-1.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
