Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,BNP,,
2009,,,,,,European elections,,27.7,,15.7,,13.7,,16.5,,8.1,6.2,,
,,,,,,,,,,,,,,,,,,,
2013,Jan,3-4,3/1/13,13,,Survation,MoS,24.0,,31.0,,11.0,,22.0,,6.0,,Internet,Weighted to Westminster likelihood to vote
,Jan,8-9,8/1/13,,,YouGov,,27.0,,38.0,,12.0,,17.0,,3.0,0.0,Internet,
,Jan,9-10,9/1/13,13,,ComRes,People,22.0,,35.0,,8.0,,23.0,,5.0,,Internet,
,Jan,10-11,10/1/13,,,YouGov,,24.0,,36.0,,12.0,,19.0,,6.0,1.0,Internet,Asked as a single list of parties rather than usual two stage prompting
,Jan,17-18,17/1/13,20,,YouGov,ST,30.0,,38.0,,13.0,,12.0,,3.0,1.0,Internet,
,May,17-18,17/5/13,,,Survation,,20.0,,31.0,,8.0,,30.0,,6.0,,Internet,No likelihood to vote weighting
,May,22-24,22/5/13,,,ComRes,Open Europe,21.0,-1.0,23.0,-12.0,18.0,10.0,27.0,4.0,4.0,1.0,Internet,
,Oct,11,11/10/13,13,,Survation,MoS,21.0,1.0,35.0,4.0,11.0,3.0,22.0,-8.0,5.0,,Internet,No likelihood to vote weighting
,Nov,21,21/11/13,26-Dec,,Survation,Daily Star,24.0,,32.0,,8.0,,25.0,,6.0,,Internet,Weighted to European likelihood to vote
2014,Jan,3,3/1/14,5,,Survation,MoS,23.0,-1.0,32.0,0.0,9.0,1.0,26.0,1.0,5.0,1.0,Internet,Weighted to European likelihood to vote
,Jan,14-15,14/1/14,16,,YouGov,Sun,23.0,,32.0,,9.0,,26.0,,5.0,0.0,Internet,Change to UKIP - included in prompted list of parties
,Feb,7-9,7/2/14,11,,ICM,Gu,25.0,,35.0,,9.0,,20.0,,7.0,,Phone,
,Mar,12-13,12/3/14,16,,ComRes,IoS/SM,21.0,0.0,28.0,5.0,8.0,-10.0,30.0,3.0,6.0,,Internet,Absolutely certain to vote
,Mar,17-18,17/3/14,19,,YouGov,TT,24.0,1.0,32.0,0.0,10.0,1.0,23.0,-3.0,5.0,1.0,Internet,
,Mar,20-21,20/3/14,23,,Survation,MoS,28.0,5.0,32.0,0.0,7.0,-2.0,23.0,-3.0,3.0,1.0,Internet,
,Mar,26-27,26/3/14,,,YouGov,,24.0,0.0,28.0,-4.0,11.0,1.0,26.0,3.0,7.0,1.0,Internet,
