Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,
1943,Jun,,,Gallup,News Chron,36.0,,44.0,,10.5,,-8.0,,,
,Jul,,,Gallup,News Chron,33.0,-3.0,47.5,3.5,11.0,0.5,-14.5,-6.5,,
,Dec,,,Gallup,News Chron,31.5,-1.5,46.5,-1.0,11.5,0.5,-15.0,-0.5,,
1944,Jan,,,Gallup,News Chron,28.0,-3.5,45.0,-1.5,12.0,0.5,-17.0,-2.0,,
1945,Feb,,,Gallup,News Chron,27.5,-0.5,47.5,2.5,12.5,0.5,-20.0,-3.0,,
,Apr,,,Gallup,News Chron,28.0,0.5,47.0,-0.5,14.0,1.5,-19.0,1.0,,
,May,,,Gallup,News Chron,33.0,5.0,45.0,-2.0,15.0,1.0,-12.0,7.0,,
,Jun,,,Gallup,News Chron,37.0,4.0,45.0,0.0,15.0,0.0,-8.0,4.0,,Gallup book gives 32%; this figure from 1945 General Election
,Jun?,,14/6 and 15/7,Centre of Public Opinion,Daily Express,45.0,,45.0,,12.0,,0.0,,,"The two polls appears to be the same, published over two different days. See 1945 General Election p.243"
,Jun ,24-27,4,Gallup,News Chron,41.0,4.0,47.0,2.0,10.5,-5.0,-6.0,2.0,,
,,,,,,,,,,,,,,,
,,,,Result,,39.3,,48.8,,9.2,,-9.5,,,
