Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,
1951,Nov,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup
,Dec,,,Gallup,News Chron,47.0,,45.0,,6.5,,2.0,,
1952,Jan,,,Gallup,News Chron,44.5,-2.5,48.0,3.0,6.0,-0.5,-3.5,-5.5,
,Feb,,,Gallup,News Chron,41.0,-3.5,47.0,-1.0,10.5,4.5,-6.0,-2.5,
,Mar,,,Gallup,News Chron,41.5,0.5,48.0,1.0,9.5,-1.0,-6.5,-0.5,
,Apr,,,Gallup,News Chron,43.5,2.0,49.0,1.0,,,-5.5,,Poll conducted but results lost by Gallup. Results from Butler 1952 book
,May,,,Gallup,News Chron,43.5,0.0,49.0,0.0,7.0,,-5.5,,
,Jun,,,Gallup,News Chron,40.5,-3.0,49.0,0.0,9.5,2.5,-8.5,-3.0,
,Jul,,,Gallup,News Chron,40.0,-0.5,50.0,1.0,8.5,-1.0,-10.0,-1.5,
,Aug,,,Gallup,News Chron,40.0,0.0,48.0,-2.0,10.5,2.0,-8.0,2.0,
,Sep,,,Gallup,News Chron,41.0,1.0,48.5,0.5,9.0,-1.5,-7.5,0.5,
,Oct,,,Gallup,News Chron,41.5,0.5,48.0,-0.5,9.0,0.0,-6.5,1.0,
,Nov,,,Gallup,News Chron,43.5,2.0,46.5,-1.5,9.0,0.0,-3.0,3.5,
,Dec,,,Gallup,News Chron,44.0,0.5,45.5,-1.0,9.5,0.5,-1.5,1.5,
1953,Jan,,,Gallup,News Chron,42.5,-1.5,46.0,0.5,10.0,0.5,-3.5,-2.0,
,Feb,,,Gallup,News Chron,42.5,0.0,46.0,0.0,10.0,0.0,-3.5,0.0,
,Mar,,,Gallup,News Chron,46.5,4.0,44.5,-1.5,8.0,-2.0,2.0,5.5,
,Apr,,,Gallup,News Chron,47.0,0.5,45.0,0.5,7.5,-0.5,2.0,0.0,
,May,,,Gallup,News Chron,47.0,0.0,45.0,0.0,7.5,0.0,2.0,0.0,
,Jun,,,Gallup,News Chron,46.0,-1.0,46.0,1.0,7.0,-0.5,0.0,-2.0,
,Jul,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup
,Aug,,,Gallup,News Chron,45.0,,46.0,,8.0,,-1.0,,
,Sep,,,Gallup,News Chron,44.5,-0.5,47.5,1.5,7.0,-1.0,-3.0,-2.0,
,Oct,,,Gallup,News Chron,45.0,0.5,47.5,0.0,7.0,0.0,-2.5,0.5,
,Nov,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup
,Dec,,,Gallup,News Chron,45.0,,47.0,,7.0,,-2.0,,
1954,Jan,21-31,,Gallup,News Chron,45.5,0.5,46.5,-0.5,7.0,0.0,-1.0,1.0,
,Feb,18-28,,Gallup,News Chron,45.0,-0.5,44.5,-2.0,9.0,2.0,0.5,1.5,
,Feb,26,,Gallup,News Chron,45.5,0.5,47.0,2.5,7.0,-2.0,-1.5,-2.0,
,Mar,20-31,,Gallup,News Chron,46.5,1.0,45.5,-1.5,7.0,0.0,1.0,2.5,
,Mar,31,,Gallup,News Chron,46.0,-0.5,45.5,0.0,7.0,0.0,0.5,-0.5,
,Apr,16-27,,Gallup,News Chron,46.5,0.5,46.0,0.5,7.0,0.0,0.5,0.0,
,May,,,Gallup,News Chron,45.5,-1.0,47.5,1.5,6.5,-0.5,-2.0,-2.5,
,Jun,,,Gallup,News Chron,45.0,-0.5,47.5,0.0,7.0,0.5,-2.5,-0.5,
,Jul,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup
,Aug,,,Gallup,News Chron,42.5,,48.5,,8.0,,-6.0,,
,Sep,,,Gallup,News Chron,43.0,0.5,48.0,-0.5,8.0,0.0,-5.0,1.0,
,Oct,,,Gallup,News Chron,45.0,2.0,45.5,-2.5,8.0,0.0,-0.5,4.5,
,Nov,,,Gallup,News Chron,46.0,1.0,47.0,1.5,6.0,-2.0,-1.0,-0.5,
,Dec,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup
1955,Jan,,,Gallup,News Chron,46.5,,45.5,,7.0,,1.0,,
,Feb,,,Gallup,News Chron,46.5,0.0,44.5,-1.0,8.0,1.0,2.0,1.0,
,Mar,,,Gallup,News Chron,46.5,0.0,44.5,0.0,8.0,0.0,2.0,0.0,
,Apr,,,Gallup,News Chron,48.0,1.5,44.0,-0.5,7.0,-1.0,4.0,2.0,
,Apr,,28,Gallup,News Chron,47.5,-0.5,47.0,3.0,5.0,-2.0,0.5,-3.5,
,May,1-3,5,Gallup,News Chron,48.5,1.0,47.5,0.5,3.0,-2.0,1.0,0.5,
,May,8-10,12,Gallup,News Chron,49.5,1.0,47.0,-0.5,3.0,0.0,2.5,1.5,
,May,15-17,19,Gallup,News Chron,50.5,1.0,47.0,0.0,2.5,-0.5,3.5,1.0,
,May,17-20,24,Gallup,News Chron,51.0,0.5,47.0,0.0,2.0,-0.5,4.0,0.5,
,May,21-24,26,Gallup,News Chron,51.0,0.0,47.5,0.5,1.5,-0.5,3.5,-0.5,
,,,,,DE,50.2,,47.2,,2.2,,3.0,4.0,
,,,,,,,,,,,,,,
,,,,Result,,49.3,,47.4,,2.8,,1.9,,
