Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,
1959,Oct,,,Gallup,News Chron,48.0,,46.0,,5.0,,2.0,,,
,Nov,,,Gallup,News Chron,48.0,0.0,44.0,-2.0,7.0,2.0,4.0,2.0,,
,Dec,,,Gallup,News Chron,47.5,-0.5,44.0,0.0,7.5,0.5,3.5,-0.5,,
1960,Jan,1-6,,Gallup,,47.0,-0.5,43.5,-0.5,8.5,1.0,3.5,0.0,,Gallup switched from News Chronicle to Telegraph during 1960
,Jan,9-20,,Gallup,,47.0,0.0,42.5,-1.0,9.5,1.0,4.5,1.0,,
,Feb,5-24,,Gallup,,47.0,0.0,43.5,1.0,9.0,-0.5,3.5,-1.0,,
,Mar,11-26,,Gallup,,47.0,0.0,42.0,-1.5,10.0,1.0,5.0,1.5,,
,Apr,6-27,,Gallup,,45.0,-2.0,42.5,0.5,11.5,1.5,2.5,-2.5,,
,Mar,1-29,,Gallup,,45.5,0.5,42.5,0.0,11.0,-0.5,3.0,0.5,,
,Jun,3-29,,Gallup,,45.5,0.0,43.0,0.5,10.5,-0.5,2.5,-0.5,,
,Jul,1-27,,Gallup,,47.0,1.5,43.0,0.0,9.0,-1.5,4.0,1.5,,
,Aug,25-5,,Gallup,,47.5,0.5,42.0,-1.0,10.0,1.0,5.5,1.5,,
,Sep,8-4,,Gallup,,47.5,0.0,40.5,-1.5,11.0,1.0,7.0,1.5,,
,Oct,20-2,,Gallup,,50.0,2.5,37.0,-3.5,12.5,1.5,13.0,6.0,,
,Nov,3-29,,Gallup,,46.0,-4.0,40.5,3.5,13.5,1.0,5.5,-7.5,,
,Dec,,,Gallup,,47.5,1.5,37.5,-3.0,14.0,0.5,10.0,4.5,,
1961,Jan,,,Gallup,DT,45.0,-2.5,41.5,4.0,12.5,-1.5,3.5,-6.5,,
,Feb,,,Gallup,DT,44.0,-1.0,42.0,0.5,13.0,0.5,2.0,-1.5,,
,Mar,,,Gallup,DT,44.0,0.0,40.0,-2.0,15.0,2.0,4.0,2.0,,
,Apr,21-26,,Gallup,DT,43.5,-0.5,40.5,0.5,15.0,0.0,3.0,-1.0,,
,Apr,28-9,,Gallup,DT,44.5,1.0,40.5,0.0,14.0,-1.0,4.0,1.0,,
,Jun,30-7,,Gallup,DT,43.5,-1.0,40.0,-0.5,15.0,1.0,3.5,-0.5,,
,Jun,29-5,,Gallup,DT,44.0,0.5,41.5,1.5,14.0,-1.0,2.5,-1.0,,
,Aug,2-9,,Gallup,DT,38.0,-6.0,43.0,1.5,17.0,3.0,-5.0,-7.5,,
,Aug,30-4,,Gallup,DT,40.0,2.0,45.5,2.5,13.5,-3.5,-5.5,-0.5,,
,Sep,24-2,,Gallup,DT,42.5,2.5,45.0,-0.5,12.0,-1.5,-2.5,3.0,,
,Sep,12-16,,Gallup,DT,43.5,1.0,43.5,-1.5,12.0,0.0,0.0,2.5,,
,Nov,2-7,,Gallup,DT,41.5,-2.0,43.0,-0.5,14.5,2.5,-1.5,-1.5,,
,Nov,9-14,,Gallup,DT,39.0,-2.5,40.0,-3.0,20.0,5.5,-1.0,0.5,,
,Nov,30-6,,Gallup,DT,38.5,-0.5,43.0,3.0,17.5,-2.5,-4.5,-3.5,,
1962,Jan,5-14,,Gallup,DT,42.0,3.5,42.0,-1.0,15.0,-2.5,0.0,4.5,,
,Feb,2-9,,Gallup,DT,40.0,-2.0,42.5,0.5,17.0,2.0,-2.5,-2.5,,
,Mar,1-7,,Gallup,DT,39.5,-0.5,44.0,1.5,16.0,-1.0,-4.5,-2.0,,
,Mar,14-21,,Gallup,DT,33.0,-6.5,40.0,-4.0,26.0,10.0,-7.0,-2.5,,
,Apr,7-16,,Gallup,DT,33.0,0.0,41.0,1.0,25.0,-1.0,-8.0,-1.0,,
