Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,,,
1974,Oct,22-27,,NOP,DM,36.6,,43.7,,15.1,,-7.1,,,,,,
,Oct,,,ORC,ES,,,,,,,-10.0,,,,,,
,Nov,14-18,,Gallup,DT,35.0,,46.5,,14.5,,-11.5,,,,,,
,Nov,26-1,,NOP,DM,38.4,1.8,47.7,4.0,11.1,-4.0,-9.3,-2.2,,,,,
,Nov,,,ORC,ES,,,,,,,2.0,12.0,,,,,
,Dec,11-16,,Gallup,DT,33.0,-2.0,47.0,0.5,16.5,2.0,-14.0,-2.5,,,,,
,Dec,,,ORC,ES,,,,,,,9.0,7.0,,,,,
1975,Jan,9-13,,Gallup,DT,34.0,1.0,48.5,1.5,13.0,-3.5,-14.5,-0.5,,,,,
,Jan,14-19,,NOP,DM,32.4,-6.0,47.8,0.1,15.9,4.8,-15.4,-6.1,,,,,
,Jan,,,ORC,ES,,,,,,,5.0,-4.0,,,,,
,Jan,28-2,,NOP,DM,38.1,5.7,43.8,-4.0,14.6,-0.7,-5.7,9.7,,,,,
,Feb,4-9,,NOP,DM,38.6,0.5,46.0,2.2,11.1,-3.5,-7.4,-1.7,,,,,
,Feb,13-17,,Gallup,DT,45.0,11.0,41.0,-7.5,11.0,-2.0,4.0,18.5,,,,,
,Feb,,,ORC,ES,,,,,,,-7.0,-12.0,,,,,
,Feb,25-2,,NOP,DM,40.8,2.2,46.4,0.4,10.3,-0.8,-5.6,1.8,,,,,
,Mar,12-17,,Gallup,DT,42.0,-3.0,44.0,3.0,11.0,0.0,-2.0,-6.0,,,,,
,Mar,,,ORC,ES,,,,,,,-4.0,3.0,,,,,
,Mar,,,Harris,DE,47.5,,39.5,,11.5,,8.0,,,,,,
,Apr,1-6,,NOP,DM,44.8,4.0,43.3,-3.1,9.1,-1.2,1.5,7.1,,,,,
,Apr,9-14,,Gallup,DT,43.0,1.0,45.0,1.0,10.0,-1.0,-2.0,0.0,,,,,
,Apr,22-27,,NOP,DM,42.4,-2.4,43.5,0.2,10.9,1.8,-1.1,-2.6,,,,,
,Apr,,,ORC,ES,,,,,,,0.0,4.0,,,,,
,May,6-11,,NOP,DM,42.9,0.5,40.2,-3.3,13.0,2.1,2.7,3.8,,,,,
,May,14-19,,Gallup,DT,45.5,2.5,39.5,-5.5,11.0,1.0,6.0,8.0,,,,,
,May,,,ORC,ES,,,,,,,-2.0,-2.0,,,,,
,May,27-1,,NOP,DM,42.0,-0.9,43.6,3.4,10.7,-2.3,-1.6,-4.3,,,,,
,Jun,11-16,,Gallup,DT,44.0,-1.5,40.5,1.0,13.0,2.0,3.5,-2.5,,,,,
,Jun,24-29,,NOP,DM,48.8,6.8,37.2,-6.4,10.4,-0.3,11.6,13.2,,,,,
,Jun,,,ORC,ES,,,,,,,-3.0,-1.0,,,,,
,Jul,11-14,,Gallup,DT,43.0,-1.0,40.5,0.0,12.5,-0.5,2.5,-1.0,,,,,
,Aug,12-17,,NOP,DM,44.4,-4.4,40.3,3.1,11.6,1.2,4.1,-7.5,,,,,
,Aug,13-18,,Gallup,DT,40.5,-2.5,42.0,1.5,14.0,1.5,-1.5,-4.0,,,,,
,Aug,,,ORC,ES,,,,,,,-14.0,-11.0,,,,,
,Sep,2-7,,NOP,DM,45.7,1.3,40.8,0.5,10.3,-1.3,4.9,0.8,,,,,
,Sep,17-22,,Gallup,DT,38.5,-2.0,41.5,-0.5,16.5,2.5,-3.0,-1.5,,,,,
,Oct,16-20,,Gallup,DT,42.5,4.0,40.5,-1.0,13.5,-3.0,2.0,5.0,,,,,
,Oct,24-30,,NOP,DM,43.4,-2.3,41.5,0.7,11.8,1.5,1.9,-3.0,,,,,
,Nov,11-16,,NOP,DM,43.6,0.2,41.2,-0.3,12.7,0.9,2.4,0.5,,,,,
,Nov,12-17,,Gallup,DT,39.0,-3.5,44.5,4.0,12.5,-1.0,-5.5,-7.5,,,,,
,Nov,25-30,,NOP,DM,44.5,0.9,37.4,-3.8,14.9,2.2,7.1,4.7,,,,,
,Nov,,,ORC,ES,,,,,,,-11.0,3.0,,,,,
,Dec,9-16,,NOP,DM,45.4,0.9,38.3,0.9,11.7,-3.2,7.1,0.0,,,,,
,Dec,11-16,,Gallup,DT,40.5,1.5,41.0,-3.5,14.0,1.5,-0.5,5.0,,,,,
1976,Jan,15-19,,Gallup,DT,40.5,0.0,42.0,1.0,14.0,0.0,-1.5,-1.0,,,,,
,Jan,15-22,,NOP,DM,43.9,-1.5,40.5,2.2,11.4,-0.3,3.4,-3.7,,,,,
,Jan,22-25,,NOP,DM,42.0,-1.9,42.8,2.3,11.3,-0.1,-0.8,-4.2,,,,,
,Jan,,,ORC,ES,,,,,,,-11.5,-0.5,,,,,
,Feb,11-16,,Gallup,DT,45.5,5.0,40.5,-1.5,10.5,-3.5,5.0,6.5,,,,,
,Feb,,,ORC,ES,,,,,,,-13.0,-1.5,,,,,
,Mar,9-14,,NOP,DM,46.0,4.0,41.7,-1.1,8.8,-2.5,4.3,5.1,,,,,
,Mar,10-15,,Gallup,DT,44.0,-1.0,41.5,1.0,9.5,-1.0,2.5,-2.5,,,,,
,Mar,18-19,,MORI,DE,40.0,,47.0,,9.0,,-7.0,,,,,,
,Mar,,,ORC,ES,,,,,,,-5.0,8.0,,,,,
,Apr,6-11,,NOP,DM,43.6,-2.4,44.7,3.0,9.0,0.2,-1.1,-5.4,,,,,
,Apr,8-9,,MORI,DE,40.0,0.0,46.0,-1.0,10.0,1.0,-6.0,,,,,,
,Apr,8-12,,Gallup,DT,41.0,-3.0,46.5,5.0,9.0,-0.5,-5.5,-8.0,,,,,
,Apr,22-28,,NOP,DM,41.7,-1.9,46.1,1.4,8.4,-0.6,-4.4,-3.3,,,,,
,Apr,,,ORC,ES,,,,,,,-1.0,4.0,,,,,
,May,11-16,,NOP,DM,46.5,4.8,41.5,-4.6,8.3,-0.1,5.0,9.4,,,,,
,May,12-17,,Gallup,DT,44.0,3.0,41.0,-5.5,10.5,1.5,3.0,8.5,,,,,
,May,18-23,,NOP,DM,44.7,-1.8,43.0,1.5,8.3,0.0,1.7,-3.3,,,,,
,Jun,3-10,,NOP,DM,45.8,1.1,41.2,-1.8,8.8,0.5,4.6,2.9,,,,,
,Jun,9-14,,Gallup,DT,44.0,-,40.5,-0.5,11.0,0.5,3.5,0.5,,,,,
,Jul,6-11,,NOP,DM,42.1,-3.7,44.1,2.9,9.5,0.7,-2.0,-6.6,,,,,
,Jul,7-12,,Gallup,DT,41.0,-3.0,41.0,0.5,13.0,2.0,0.0,-3.5,,,,,
,Jul,13-18,,NOP,DM,43.6,1.5,43.5,-0.6,8.7,-0.8,0.1,2.1,,,,,
,Jul,,,ORC,ES,,,,,,,-9.0,-8.0,,,,,
,Aug,11-16,,Gallup,DT,44.0,3.0,41.0,0.0,10.0,-3.0,3.0,3.0,,,,,
,Aug,17-22,,NOP,DM,43.9,0.3,43.3,-0.2,9.3,0.6,0.6,0.5,,,,,
,Sep,7-12,,NOP,DM,46.5,2.6,40.5,-2.8,9.1,-0.2,6.0,5.4,,,,,
,Sep,15-20,,Gallup,DT,42.5,-1.5,42.0,1.0,11.0,1.0,0.5,-2.5,,,,,
,Sep,21-26,,NOP,DM,45.6,-0.9,39.6,-0.9,9.9,0.8,6.0,0.0,,,,,
,Oct,5-10,,NOP,DM,50.7,5.1,35.9,-3.7,9.5,-0.4,14.8,8.8,,,,,
,Oct,12-17,,NOP,DM,53.4,2.7,34.9,-1.0,8.3,-1.2,18.5,3.7,,,,,
,Oct,14-18,,Gallup,DT,48.0,5.5,36.5,-5.5,11.5,0.5,11.5,11.0,,,,,
,Oct,,,ORC,ES,,,,,,,-17.0,-8.0,,,,,
,Nov,2-7,,NOP,DM,49.3,-4.1,38.2,3.3,9.3,1.0,11.1,-7.4,,,,,
,Nov,10-15,,Gallup,DT,55.0,7.0,30.0,-6.5,11.5,0.0,25.0,13.5,,,,,
,Nov,23-28,,NOP,DM,55.2,5.9,31.3,-6.9,9.4,0.1,23.9,12.8,,,,,
,Dec,8-13,,Gallup,DT,49.5,-5.5,34.0,4.0,11.5,0.0,15.5,-9.5,,,,,
,Dec,8-14,,NOP,DM,47.9,-7.3,38.4,7.1,10.6,1.2,9.5,-14.4,,,,,
1977,Jan,12-17,,Gallup,DT,47.0,-2.5,34.0,0.0,14.5,3.0,13.0,-2.5,,,,,
,Jan,,26,NOP,DM,48.4,0.5,36.8,-1.6,10.2,-0.4,11.6,2.1,,,,,
,Jan,,2,NOP,DM,50.0,1.6,35.1,-1.7,11.2,1.0,14.9,3.3,,,,,
,Feb,9-14,,Gallup,DT,46.0,-1.0,33.5,-0.5,14.0,-0.5,12.5,-0.5,,,,,
