Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,SDP,,Green,,Con lead,,
1987,Jun,24-29?,29,NOP,,42.0,,33.0,,23.0,,,,,,9.0,,
,Jun,25-1,5,MORI,ST,49.0,,31.0,,17.0,,,,,,18.0,7.0,
,Jul,?-6,,NOP,,49.0,7.0,31.0,-2.0,18.0,-5.0,,,,,18.0,9.0,
,Jul,8-13,19,Gallup,DT,44.5,,33.0,,20.5,,,,,,11.5,4.5,
,Jul,16,19,Harris,OB,48.0,,33.0,,17.0,,,,,,15.0,5.0,
,Jul,21-29,2,MORI,ST,49.0,0.0,33.0,2.0,17.0,0.0,,,,,16.0,-2.0,
,Aug,29-3,,NOP,,49.0,0.0,33.0,2.0,16.0,-2.0,,,,,16.0,-2.0,
,Aug,12-17,23,Gallup,DT,45.5,1.0,35.5,2.5,17.5,-3.0,,,,,10.0,-1.5,
,Aug,19-24,,NOP,,48.0,-1.0,33.0,0.0,17.0,1.0,,,,,15.0,-1.0,
,Aug,21-26,30,MORI,ST,48.0,-1.0,36.0,3.0,14.0,-3.0,,,,,12.0,-4.0,
,Sep,?-7,,NOP,,53.0,5.0,29.0,-4.0,15.0,-2.0,,,,,24.0,9.0,
,Sep,3-7,13,Gallup,DT,44.0,-1.5,33.0,-2.5,20.0,2.5,,,,,11.0,1.0,
,Sep,12-20,27,Harris,OB,47.0,-1.0,35.0,2.0,16.0,-1.0,,,,,12.0,-3.0,
,Sep,16-21,27,Gallup,STel,48.0,4.0,35.5,2.5,14.0,-6.0,,,,,12.5,1.5,
,Sep,23-28,,NOP,,50.0,-3.0,34.0,5.0,13.0,-2.0,,,,,16.0,-8.0,
,Sep,24-30,4,MORI,ST,49.0,1.0,36.0,0.0,12.0,-2.0,,,,,13.0,1.0,
,Oct,?-5,,NOP,,51.0,1.0,31.0,-3.0,15.0,2.0,,,,,20.0,4.0,
,Oct,9-13,15,Marplan,GU,45.0,,39.0,,13.0,,,,,,6.0,,
,Oct,14-19,22,Gallup,DT,52.0,4.0,31.5,-4.0,13.5,-0.5,,,,,20.5,8.0,
,Oct,19,25,MORI,ST,50.0,1.0,34.0,-2.0,14.0,2.0,,,,,16.0,3.0,
,Oct,21-26,1,MORI,ST,47.0,-3.0,37.0,3.0,14.0,0.0,,,,,10.0,-6.0,
,Oct,28-3,,NOP,,45.0,-6.0,36.0,5.0,15.0,0.0,,,,,9.0,-11.0,
,Nov,?-9,,NOP,,48.0,3.0,35.0,-1.0,14.0,-1.0,,,,,13.0,4.0,
,Nov,11-16,19,Gallup,DT,46.5,-5.5,33.0,1.5,17.0,3.5,,,,,13.5,-7.0,
,Nov,19-25,29,MORI,ST,50.0,3.0,38.0,1.0,11.0,-3.0,,,,,12.0,2.0,
,Nov,25-30,,NOP,,49.0,1.0,34.0,-1.0,15.0,1.0,,,,,15.0,2.0,
,Dec,?-7,,NOP,,47.0,-2.0,35.0,1.0,14.0,-1.0,,,,,12.0,-3.0,
,Dec,2-7,13,Gallup,DT,46.5,0.0,34.5,1.5,16.0,-1.0,,,,,12.0,-1.5,
,Dec,4-8,9,Marplan,GU,47.0,2.0,37.0,-2.0,13.0,0.0,,,,,10.0,4.0,
