Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Referendum,,Con lead,,
1992,Apr,10-11,,ASL,,42.0,,36.0,,18.0,,,,6.0,,Phone
,Apr,10-12,,Gallup,,39.0,,38.0,,19.0,,,,1.0,,
,Apr,25-28?,3,MORI,ST,43.0,,38.0,,16.0,,,,5.0,,
,Apr,15-16,19,Harris,OB,44.0,,36.0,,17.0,,,,8.0,,
,Apr,25-28,,MORI,,39.0,-4.0,37.0,-1.0,18.0,2.0,,,2.0,-3.0,
,Apr,29-4,,Gallup,,42.0,3.0,39.0,1.0,17.0,-2.0,,,3.0,2.0,
,May,8-9,13,ICM,GU,46.0,,36.0,,14.0,,,,10.0,,
,May,13-14,17,Harris,OB,46.0,2.0,37.0,1.0,13.0,-4.0,,,9.0,1.0,
,May,15-17,29,ASL,,45.0,3.0,37.0,1.0,13.0,-6.0,,,8.0,10.0,Phone
,May,21-26,31,MORI,ST,43.0,4.0,38.0,1.0,16.0,-2.0,,,5.0,3.0,
,May,28-1,,Gallup,,45.0,3.0,37.0,-2.0,17.0,0.0,,,8.0,5.0,
,Jun,5-6,10,ICM,GU,44.0,-2.0,36.0,0.0,13.0,-1.0,,,8.0,-2.0,
,Jun,17-18,21,Harris,OB,46.0,0.0,36.0,-1.0,15.0,2.0,,,10.0,1.0,
,Jun,19-23,28,MORI,ST,42.0,-1.0,39.0,1.0,16.0,0.0,,,3.0,-2.0,
,Jul,1-6,,Gallup,,42.0,-3.0,38.0,1.0,16.0,-1.0,,,4.0,-4.0,
,Jul,3-4,8,ICM,GU,45.0,1.0,39.0,3.0,12.0,-1.0,,,6.0,-2.0,
,Jul,15-16,19,Harris,OB,44.0,-2.0,38.0,2.0,15.0,0.0,,,6.0,-4.0,
,Jul,23-28,2,MORI,ST,39.0,-3.0,43.0,4.0,15.0,-1.0,,,-4.0,-7.0,
,Jul,29-3,,Gallup,,40.5,-1.5,45.0,7.0,12.0,-7.0,,,-4.5,-8.5,
,Jul,,,G9000,,39.1,,41.4,,14.8,,,,-2.3,,
,Aug,7-8,9,ICM,GU,41.0,-4.0,40.0,1.0,14.0,2.0,,,1.0,-5.0,
,Aug,14,15,NOP,IoS,43.0,,39.0,,14.0,,,,4.0,,
,Aug,21,,MORI,,38.0,-1.0,44.0,1.0,14.0,-1.0,,,-6.0,-2.0,
,Aug,27-1,7,MORI,TT,41.0,3.0,44.0,0.0,13.0,-1.0,,,-3.0,3.0,
