,,Government,,,Prime Minister,,,,Opposition leader,,,,LibDem leader,,,,Best econ,,,Trust,,,,,,,,,,,,
,,Approval,Disapproval,,Good job,Bad job,,Best PM,Good job,Bad job,,Best PM,Good job,Bad job,,Best PM,Con,Lab,,Yes,No,,,,,,,,,,,
Gallup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,J,36.6,48.6,-12.0,43.8,50.4,-6.6,,28.1,59.6,-31.5,,25.4,26.3,-0.9,,,,,,,,,,,,,,,,,
,F,34.2,50.6,-16.4,41.6,52.5,-10.9,,28.7,58.7,-30.0,,26.9,26.8,0.1,,,,,,,,,,,,,,,,,
,M,33.1,53.6,-20.5,39.7,54.7,-15.0,,29.2,59.1,-29.9,,26.0,34.7,-8.7,,,,,,,,,,,,,,,,,
,A,34.6,52.1,-17.5,40.6,53.7,-13.1,,31.7,55.7,-24.0,,28.2,31.2,-3.0,,,,,,,,,,,,,,,,,
,M,35.8,50.2,-14.4,40.9,53.5,-12.6,,35.0,52.1,-17.1,,23.3,38.5,-15.2,,,,,,,,,,,,,,,,,
,J,32.1,54.3,-22.2,37.7,56.8,-19.1,,37.5,50.3,-12.8,,25.7,39.6,-13.9,,,,,,,,,,,,,,,,,
,J,29.9,57.6,-27.7,34.8,60.1,-25.3,,37.9,49.9,-12.0,,21.7,44.4,-22.7,,,,,,,,,,,,,,,,,
,A,31.8,56.0,-24.2,35.6,59.4,-23.8,,36.2,51.2,-15.0,,20.9,43.3,-22.4,,,,,,,,,,,,,,,,,
,S,31.1,55.9,-24.8,35.8,58.6,-22.8,,37.2,50.0,-12.8,,23.5,44.4,-20.9,,,,,,,,,,,,,,,,,
,O,29.0,59.5,-30.5,33.1,61.9,-28.8,,45.1,42.2,2.9,,23.3,45.4,-22.1,,,,,,,,,,,,,,,,,
,N,28.1,59.4,-31.3,29.6,64.8,-35.2,,40.9,45.0,-4.1,,25.8,41.7,-15.9,,,,,,,,,,,,,,,,,
,D,30.1,58.2,-28.1,32.2,62.8,-30.6,,42.7,43.3,-0.6,,27.9,40.4,-12.5,,,,,,,,,,,,,,,,,
1990,J,28.8,59.1,-30.3,32.6,62.0,-29.4,,40.6,45.9,-5.3,,25.0,41.2,-16.2,,,,,,,,,,,,,,,,,
,F,24.9,63.2,-38.3,29.2,65.4,-36.2,,39.6,46.7,-7.1,,27.6,40.6,-13.0,,,,,,,,,,,,,,,,,
,M,21.6,68.7,-47.1,24.3,71.4,-47.1,,40.4,45.3,-4.9,,29.1,39.1,-10.0,,,,,,,,,,,,,,,,,
