,,Conservative,,Labour,,LD,,UKIP,,SDP,TIG,,BXP,,Green,,,Lead,,,,,,
,GE,43.5,,28.3,,26.0,,,,,,,,,,,,15.2,,,,,,
1983,Jun-83,43.0,,27.0,,29.0,,,,,,,,,,,,16.0,,,,,,
,Jul-83,44.8,1.8,28.6,1.6,25.1,-3.9,,,,,,,,,,,16.2,0.2,,,,,
,Aug-83,45.7,0.9,27.4,-1.3,25.5,0.4,,,,,,,,,,,18.3,2.1,,,,,
,Sep-83,45.5,-0.1,26.7,-0.7,26.3,0.7,,,,,,,,,,,18.9,0.6,,,,,
,Oct-83,42.4,-3.2,35.4,8.7,20.8,-5.5,,,,,,,,,,,7.0,-11.9,,,,,
,Nov-83,42.8,0.4,35.1,-0.3,20.6,-0.2,,,,,,,,,,,7.7,0.7,,,,,
,Dec-83,41.9,-0.9,37.3,2.2,19.3,-1.3,,,,,,,,,,,4.6,-3.1,,,,,
1984,Jan-84,42.9,1.0,36.5,-0.8,18.8,-0.5,,,,,,,,,,,6.4,1.8,,,,,
,Feb-84,42.4,-0.5,36.7,0.2,19.0,0.3,,,,,,,,,,,5.7,-0.7,,,,,
,Mar-84,39.9,-2.6,39.9,3.2,18.8,-0.2,,,,,,,,,,,-0.1,-5.8,,,,,
,Apr-84,40.7,0.8,37.4,-2.6,20.3,1.5,,,,,,,,,,,3.3,3.4,,,,,
,May-84,39.8,-0.9,36.8,-0.6,21.8,1.5,,,,,,,,,,,3.0,-0.3,,,,,
,Jun-84,39.2,-0.6,38.0,1.3,21.2,-0.6,,,,,,,,,,,1.2,-1.8,,,,,
,Jul-84,37.2,-2.0,38.5,0.5,22.3,1.1,,,,,,,,,,,-1.3,-2.5,,,,,
,Aug-84,38.2,1.0,38.8,0.3,21.2,-1.1,,,,,,,,,,,-0.6,0.7,,,,,
,Sep-84,39.8,1.6,36.9,-1.9,21.3,0.1,,,,,,,,,,,2.9,3.5,,,,,
,Oct-84,41.9,2.1,34.5,-2.4,21.6,0.3,,,,,,,,,,,7.4,4.5,,,,,
,Nov-84,43.8,1.8,32.7,-1.9,21.8,0.2,,,,,,,,,,,11.1,3.7,,,,,
,Dec-84,40.3,-3.5,34.1,1.5,24.0,2.1,,,,,,,,,,,6.2,-5.0,,,,,
1985,Jan-85,38.8,-1.5,34.5,0.4,24.9,0.9,,,,,,,,,,,4.3,-1.9,,,,,
,Feb-85,37.5,-1.3,35.8,1.3,24.9,0.0,,,,,,,,,,,1.7,-2.6,,,,,
,Mar-85,36.2,-1.3,37.9,2.1,23.8,-1.2,,,,,,,,,,,-1.8,-3.4,,,,,
,Apr-85,36.2,0.1,37.4,-0.5,24.9,1.1,,,,,,,,,,,-1.2,0.6,,,,,
,May-85,31.7,-4.5,35.1,-2.3,31.3,6.5,,,,,,,,,,,-3.3,-2.2,,,,,
,Jun-85,33.4,1.6,36.4,1.3,29.0,-2.3,,,,,,,,,,,-3.0,0.3,,,,,
,Jul-85,30.9,-2.4,35.3,-1.2,31.8,2.8,,,,,,,,,,,-4.3,-1.3,,,,,
,Aug-85,29.8,-1.1,36.4,1.2,32.0,0.2,,,,,,,,,,,-6.6,-2.3,,,,,
,Sep-85,31.5,1.7,33.3,-3.2,33.2,1.2,,,,,,,,,,,-1.8,4.9,,,,,
